Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency
1,40,2,10,32,2,2,1,12.5
0,400,1,8,1,32,1,1,100.0
1,10,1,64,160,1,1,1,12.5
1,20,1,10,4,64,2,1,12.5
1,1,16,10,4,80,2,1,12.5
1,10,20,16,8,1,4,1,12.5
1,2,10,10,1,512,1,1,12.5
1,1,1,320,4,16,5,1,12.5
1,1,80,40,1,32,1,1,12.5
1,16,10,5,4,16,2,1,12.5
1,1,16,200,16,1,2,1,12.5
1,1,1,160,32,2,10,1,12.5
1,5,8,20,2,4,16,1,12.5
1,2,320,1,16,2,5,1,12.5
1,2,2,80,40,1,8,1,12.5
1,8,4,5,2,5,64,1,12.5
1,1,50,4,1,64,8,1,12.5
1,16,1,50,4,32,1,1,12.5
0,20,8,10,8,2,4,1,100.0
1,1,128,1,8,25,4,1,12.5
1,8,2,10,16,40,1,1,12.5
1,5,8,16,16,10,1,1,12.5
1,4,1,160,20,8,1,1,12.5
1,2,16,10,16,2,10,1,12.5
1,2,160,5,16,1,4,1,12.5
0,100,1,2,8,16,4,1,100.0
1,1,20,40,1,128,1,1,12.5
1,1,8,20,8,8,10,1,12.5
1,2,40,20,32,1,2,1,12.5
1,4,8,5,2,80,4,1,12.5
0,25,8,1,2,32,8,1,100.0
1,160,1,5,4,4,8,1,12.5
1,16,4,5,80,1,4,1,12.5
1,1,80,4,20,16,1,1,12.5
1,2,5,160,1,1,64,1,12.5
1,5,2,10,512,1,2,1,12.5
1,1,16,100,1,4,16,1,12.5
1,10,1,16,4,160,1,1,12.5
1,8,2,10,1,10,64,1,12.5
1,16,5,40,8,2,2,1,12.5
1,1,5,32,8,20,4,1,12.5
0,100,2,8,4,4,4,1,100.0
0,1,32,4,50,1,16,1,100.0
1,16,5,2,2,20,16,1,12.5
1,64,2,1,20,4,10,1,12.5
1,1,20,40,32,1,4,1,12.5
1,4,32,5,4,4,10,1,12.5
1,8,5,8,4,80,1,1,12.5
1,5,20,2,64,4,2,1,12.5
1,100,4,2,4,8,4,1,12.5
1,1,128,1,4,50,4,1,12.5
1,100,4,8,1,1,32,1,12.5
0,1,4,80,10,1,32,1,100.0
1,8,1,20,64,5,2,1,12.5
1,4,5,20,4,2,32,1,12.5
1,8,50,2,2,1,64,1,12.5
1,1,40,16,2,40,2,1,12.5
1,16,2,20,8,4,5,1,12.5
1,10,64,5,1,16,2,1,12.5
1,4,800,1,1,32,1,1,12.5
1,800,1,1,32,1,4,1,12.5
1,800,4,1,8,1,4,1,12.5
1,80,20,1,1,1,64,1,12.5
1,40,4,1,8,40,2,1,12.5
1,1,32,5,8,40,2,1,12.5
1,8,5,8,8,40,1,1,12.5
1,1,50,8,64,1,4,1,12.5
1,1,20,80,16,4,1,1,12.5
1,40,5,8,1,32,2,1,12.5
1,40,2,20,16,1,4,1,12.5
1,2,1,64,5,32,5,1,12.5
1,20,2,20,4,32,1,1,12.5
1,1,8,80,4,20,2,1,12.5
1,5,2,32,1,10,32,1,12.5
1,4,1,160,2,20,4,1,12.5
1,4,10,4,32,2,10,1,12.5
1,1,80,40,4,8,1,1,12.5
1,2,1,160,160,1,2,1,12.5
1,50,2,32,8,4,1,1,12.5
1,16,10,4,2,16,5,1,12.5
0,80,10,4,1,1,32,1,100.0
0,8,1,20,8,20,4,1,100.0
1,2,2,32,5,5,32,1,12.5
1,2,80,2,1,8,40,1,12.5
1,1,2,400,64,2,1,1,12.5
1,40,4,4,1,80,2,1,12.5
1,16,1,8,25,32,1,1,12.5
1,40,4,4,16,5,2,1,12.5
1,5,80,2,4,2,16,1,12.5
1,1,320,2,32,5,1,1,12.5
1,4,1,100,1,8,32,1,12.5
1,40,4,2,2,40,4,1,12.5
1,40,1,5,1,128,4,1,12.5
1,5,1,40,16,16,2,1,12.5
1,8,8,10,40,4,1,1,12.5
1,50,4,1,4,32,4,1,12.5
1,160,2,10,1,4,8,1,12.5
1,5,16,10,8,4,4,1,12.5
1,2,20,8,1,20,16,1,12.5
1,200,8,1,16,4,1,1,12.5
1,1,4,80,2,16,10,1,12.5
0,4,32,5,1,8,20,1,100.0
0,1,5,64,32,5,2,1,100.0
1,5,64,2,4,20,2,1,12.5
1,32,1,5,10,2,32,1,12.5
1,2,64,5,1,16,10,1,12.5
1,25,32,4,1,32,1,1,12.5
1,10,20,1,16,4,8,1,12.5
1,100,2,2,32,1,8,1,12.5
1,20,4,2,10,4,16,1,12.5
1,1,16,25,8,8,4,1,12.5
1,16,50,2,4,1,16,1,12.5
1,10,4,80,1,2,16,1,12.5
1,1,4,50,64,2,4,1,12.5
1,1,25,4,1,64,16,1,12.5
1,32,10,10,2,4,4,1,12.5
1,20,2,4,32,5,4,1,12.5
1,4,16,2,400,2,1,1,12.5
1,1,160,1,80,4,2,1,12.5
1,16,20,1,16,1,20,1,12.5
1,1,80,5,16,8,2,1,12.5
1,5,4,40,2,8,8,1,12.5
0,5,8,8,40,1,8,1,100.0
1,16,20,10,32,1,1,1,12.5
1,10,64,1,5,2,16,1,12.5
1,1,25,4,32,1,32,1,12.5
1,80,5,8,2,2,8,1,12.5
1,1,160,20,8,2,2,1,12.5
0,4,4,8,5,8,20,1,100.0
1,64,2,1,10,40,2,1,12.5
1,1,20,10,64,2,4,1,12.5
1,1,1600,1,1,16,4,1,12.5
1,2,40,4,8,1,40,1,12.5
1,2,8,8,4,10,20,1,12.5
1,2,20,16,8,5,4,1,12.5
1,4,40,2,16,2,10,1,12.5
1,10,8,2,1,64,10,1,12.5
1,1,32,10,8,10,4,1,12.5
1,4,1,80,40,2,4,1,12.5
1,100,2,8,8,4,2,1,12.5
1,5,16,5,8,1,32,1,12.5
1,1,1,200,32,8,2,1,12.5
1,5,1,32,10,32,2,1,12.5
0,1,4,200,128,1,1,1,100.0
1,1,128,5,1,5,32,1,12.5
1,4,20,4,1,20,16,1,12.5
1,20,2,4,2,320,1,1,12.5
1,64,2,25,4,1,8,1,12.5
1,10,2,16,20,8,2,1,12.5
1,10,32,2,1,32,5,1,12.5
1,5,64,2,5,1,32,1,12.5
0,4,20,2,2,64,5,1,100.0
1,40,10,1,4,32,2,1,12.5
0,2,1,200,64,2,2,1,100.0
0,20,16,2,160,1,1,1,100.0
0,80,40,1,16,1,2,1,100.0
1,2,16,25,1,4,32,1,12.5
1,2,8,40,1,40,4,1,12.5
1,2,10,8,5,128,1,1,12.5
1,10,8,2,40,2,8,1,12.5
1,5,10,16,1,128,1,1,12.5
1,1,8,100,4,4,8,1,12.5
1,4,20,2,5,4,32,1,12.5
1,4,2,16,16,5,10,1,12.5
0,4,2,40,16,5,4,1,100.0
1,1,50,2,16,2,32,1,12.5
1,8,10,2,2,16,20,1,12.5
1,8,4,25,16,8,1,1,12.5
1,50,16,2,1,2,32,1,12.5
1,2,2,32,2,20,20,1,12.5
1,5,8,16,4,2,20,1,12.5
0,320,1,2,16,5,2,1,100.0
0,20,2,5,64,1,8,1,100.0
1,1,10,320,8,2,2,1,12.5
1,1,160,4,1,5,32,1,12.5
1,100,16,1,16,2,2,1,12.5
1,160,2,10,4,1,8,1,12.5
1,1,32,5,8,8,10,1,12.5
1,1,16,20,4,16,5,1,12.5
0,80,2,2,8,10,4,1,100.0
1,8,8,5,80,4,1,1,12.5
1,5,64,5,2,1,32,1,12.5
0,20,1,32,1,32,5,1,100.0
1,40,4,4,4,2,20,1,12.5
1,1,80,5,4,32,2,1,12.5
1,2,5,10,8,8,16,1,12.5
1,400,2,4,2,16,1,1,12.5
1,32,5,2,1,8,40,1,12.5
1,2,320,1,1,10,16,1,6.83
1,5,8,4,40,4,4,1,12.5
1,25,4,1,2,512,1,1,12.5
0,1,8,20,4,5,32,1,100.0
0,16,4,25,2,32,1,1,100.0
1,5,8,8,16,5,4,1,12.5
1,16,4,5,1,20,16,1,12.5
1,1,8,40,4,8,10,1,12.5
1,10,2,20,1,16,16,1,12.5
1,2,80,4,2,2,40,1,12.5
1,1,640,1,5,2,16,1,12.5
1,25,4,4,8,1,32,1,12.5
1,40,8,10,16,2,1,1,12.5
1,32,1,10,8,4,10,1,12.5
1,16,8,1,1,25,32,1,9.5
1,10,20,4,64,2,1,1,12.5
1,64,25,2,8,4,1,1,12.5
1,4,25,8,8,16,1,1,12.5
1,8,1,200,8,4,2,1,12.5
1,4,40,4,1,40,4,1,12.5
1,2,80,20,8,4,1,1,12.5
0,5,2,40,4,64,1,1,100.0
1,2,20,8,1,160,2,1,12.5
1,2,4,40,2,32,5,1,12.5
0,4,25,8,8,16,1,1,100.0
1,4,32,25,8,2,2,1,12.5
0,16,100,1,8,2,4,1,100.0
1,2,40,5,2,16,8,1,12.5
1,4,80,1,16,20,1,1,12.5
1,8,2,200,2,4,4,1,12.5
1,5,20,2,16,8,4,1,12.5
1,32,1,4,5,160,1,1,12.5
1,1,2,320,2,5,16,1,12.5
1,10,2,16,1,8,40,1,12.5
1,1,4,200,32,2,2,1,12.5
1,16,8,1,5,32,5,1,12.5
0,32,25,2,2,16,2,1,100.0
1,4,2,40,4,80,1,1,12.5
1,64,1,5,5,4,16,1,12.5
0,4,8,100,16,2,1,1,100.0
1,4,8,4,1,20,40,1,12.5
1,16,2,4,16,25,2,1,12.5
1,10,4,16,2,16,5,1,12.5
1,32,1,5,64,5,2,1,12.5
1,128,5,1,1,32,5,1,12.5
1,20,5,1,1024,1,1,1,12.5
0,32,10,2,8,2,10,1,100.0
1,4,2,16,20,5,8,1,12.5
1,200,1,1,4,16,8,1,12.5
0,5,10,8,1,8,32,1,100.0
1,2,100,16,16,1,2,1,12.5
1,1,20,32,8,2,10,1,12.5
1,40,2,20,2,1,32,1,12.5
1,4,2,40,16,20,1,1,12.5
1,1,5,20,256,2,2,1,12.5
1,32,5,1,8,4,20,1,12.5
1,5,64,2,2,40,2,1,12.5
1,32,2,2,10,20,4,1,12.5
0,80,2,20,2,4,4,1,100.0
1,8,10,10,8,2,8,1,12.5
1,2,50,4,16,4,4,1,12.5
0,32,4,1,25,16,2,1,100.0
1,4,5,16,20,4,4,1,12.5
1,5,10,8,16,16,1,1,12.5
1,1,20,10,4,16,8,1,12.5
1,20,16,5,1,2,32,1,12.5
1,1,8,20,16,20,2,1,12.5
1,2,10,40,2,2,32,1,12.5
1,2,40,10,2,4,16,1,12.5
1,32,5,5,32,2,2,1,12.5
1,1,80,4,40,1,8,1,12.5
0,1,4,160,8,10,2,1,100.0
1,400,4,2,16,1,2,1,12.5
1,4,5,16,160,2,1,1,12.5
1,1,64,5,4,10,8,1,12.5
1,4,800,1,16,1,2,1,12.5
0,20,80,2,2,1,16,1,100.0
0,800,2,2,4,4,2,1,100.0
1,2,160,1,5,32,2,1,12.5
1,1,50,2,4,256,1,1,12.5
1,128,1,5,16,5,2,1,12.5
1,40,10,2,16,8,1,1,12.5
1,5,1,80,1,64,4,1,12.5
1,1,2,100,16,4,8,1,12.5
1,40,1,4,32,4,5,1,12.5
1,8,40,5,8,4,2,1,12.5
1,320,1,2,4,2,20,1,12.5
1,2,8,40,160,1,1,1,12.5
1,25,4,2,32,4,4,1,12.5
0,5,40,16,8,2,2,1,100.0
1,25,4,1,1024,1,1,1,12.5
1,1,2,64,5,80,2,1,12.5
1,2,8,8,1,80,10,1,12.5
1,10,5,4,256,1,2,1,12.5
1,1,16,40,10,1,16,1,12.5
1,16,20,2,5,8,4,1,12.5
1,1,40,16,4,10,4,1,12.5
1,20,2,4,80,4,2,1,12.5
1,10,1,320,4,8,1,1,12.5
1,2,40,2,32,20,1,1,12.5
1,4,4,20,20,8,2,1,12.5
1,8,10,20,1,2,32,1,12.5
1,20,4,8,4,1,40,1,12.5
1,5,10,4,16,2,16,1,12.5
1,2,4,200,1,2,32,1,12.5
1,2,2,32,2,400,1,1,12.5
1,1600,1,2,2,16,1,1,12.5
1,10,80,4,1,2,16,1,12.5
0,80,2,2,80,2,2,1,100.0
0,200,1,16,1,4,8,1,100.0
1,80,2,4,40,2,2,1,12.5
1,64,5,5,2,2,16,1,12.5
1,8,8,2,40,20,1,1,12.5
1,10,2,16,16,4,5,1,12.5
1,1,50,2,8,64,2,1,12.5
1,8,2,50,32,1,4,1,12.5
1,1,80,2,1,320,2,1,12.5
1,40,1,4,128,5,1,1,12.5
0,4,40,4,2,4,20,1,100.0
1,10,4,5,32,16,1,1,12.5
1,4,8,4,5,80,2,1,12.5
1,4,2,50,1,16,16,1,12.5
1,5,4,32,2,2,40,1,12.5
1,10,16,1,4,32,5,1,12.5
1,8,40,10,1,2,16,1,12.5
1,50,8,1,8,16,2,1,12.5
1,1,8,25,4,4,32,1,12.5
0,5,64,2,1,4,40,1,100.0
1,1,40,8,20,4,4,1,12.5
1,1,4,50,1,512,1,1,12.5
1,200,1,2,1,16,16,1,12.5
1,160,5,1,1,64,2,1,12.5
1,2,16,4,5,5,32,1,12.5
1,40,2,5,1,128,2,1,12.5
1,320,5,2,16,1,2,1,12.5
1,1,32,50,1,4,16,1,12.5
1,1,4,32,4,40,5,1,12.5
1,20,8,4,4,8,5,1,12.5
1,8,4,4,16,25,2,1,12.5
1,1,8,16,50,4,4,1,12.5
1,2,25,16,2,64,1,1,12.5
1,16,20,1,2,8,20,1,12.5
1,80,1,20,2,2,16,1,12.5
1,10,20,2,16,1,16,1,12.5
1,2,8,10,1,160,4,1,12.5
1,32,1,4,40,2,10,1,12.5
1,8,40,2,8,10,2,1,12.5
1,4,16,2,16,2,25,1,12.5
1,10,1,10,8,128,1,1,12.5
1,10,2,20,8,1,32,1,12.5
1,1,20,8,40,16,1,1,12.5
1,320,2,1,80,2,1,1,12.5
1,50,2,2,2,64,4,1,12.5
1,2,16,5,40,16,1,1,12.5
1,10,10,1,16,1,64,1,12.5
1,5,128,1,10,8,2,1,12.5
1,5,4,20,1,128,2,1,12.5
1,160,2,1,2,10,16,1,12.5
1,2,80,1,4,8,20,1,12.5
1,40,2,20,1,16,4,1,12.5
0,5,20,2,16,32,1,1,100.0
1,1,128,5,5,1,32,1,12.5
1,2,20,8,320,1,1,1,12.5
1,16,8,1,32,5,5,1,12.5
1,2,20,4,5,2,64,1,12.5
1,64,1,2,1,160,5,1,12.5
1,2,10,8,5,2,64,1,12.5
1,4,20,4,40,8,1,1,12.5
0,1,5,40,4,4,32,1,100.0
0,4,20,5,16,1,16,1,100.0
1,2,2,160,2,10,8,1,12.5
1,2,8,8,5,4,40,1,12.5
1,25,4,4,2,32,4,1,12.5
1,8,40,2,1,4,40,1,12.5
1,25,1,16,1,16,16,1,12.5
1,16,1,8,20,8,5,1,12.5
1,2,20,4,2,10,32,1,12.5
1,20,5,1,16,1,64,1,12.5
0,4,8,4,10,40,2,1,100.0
0,1,40,4,16,4,10,1,100.0
0,50,1,16,1,4,32,1,100.0
1,160,4,1,10,16,1,1,12.5
1,32,20,1,1,16,10,1,6.65
1,1,40,4,2,64,5,1,12.5
1,2,1,320,1,32,5,1,12.5
1,2,4,16,2,10,40,1,12.5
1,10,10,2,8,4,16,1,12.5
1,10,4,8,8,40,1,1,12.5
1,8,8,50,16,1,2,1,12.5
1,200,8,2,2,1,16,1,12.5
1,4,16,2,20,8,5,1,12.5
1,2,10,32,4,8,5,1,12.5
1,8,2,25,32,1,8,1,12.5
1,4,8,4,1,800,1,1,12.5
1,10,2,16,16,2,10,1,12.5
1,1,64,2,32,25,1,1,12.5
1,20,20,4,8,8,1,1,12.5
1,64,5,1,2,16,10,1,12.5
1,80,1,4,20,1,16,1,12.5
1,20,8,1,160,2,2,1,12.5
1,128,5,5,2,16,1,1,12.5
1,1,5,160,8,2,8,1,12.5
1,4,50,2,64,4,1,1,12.5
1,1,8,16,16,1,50,1,12.5
1,5,128,1,2,2,40,1,12.5
0,16,1,8,4,50,4,1,100.0
1,8,5,16,5,2,16,1,12.5
1,4,16,2,10,4,20,1,12.5
1,10,8,4,20,16,1,1,12.5
1,32,1,20,1,80,2,1,12.5
0,1,128,25,8,2,2,1,100.0
1,16,40,5,4,2,4,1,12.5
1,40,1,4,5,64,2,1,12.5
1,5,16,8,5,8,4,1,12.5
1,100,1,2,64,8,1,1,12.5
1,5,40,1,4,32,4,1,12.5
1,5,16,8,1,8,20,1,12.5
1,160,1,1,640,1,1,1,12.5
1,1,5,128,10,1,16,1,12.5
1,5,16,2,2,8,40,1,12.5
1,20,10,1,256,1,2,1,12.5
1,4,5,80,1,64,1,1,12.5
1,5,2,80,4,32,1,1,12.5
1,1,20,5,64,8,2,1,12.5
1,5,40,8,2,1,32,1,12.5
1,5,5,4,128,1,8,1,12.5
1,8,5,16,20,2,4,1,12.5
1,40,2,4,4,20,4,1,12.5
1,40,1,5,16,8,4,1,12.5
0,1,50,8,2,128,1,1,100.0
1,4,40,2,40,1,8,1,12.5
1,10,16,2,8,2,20,1,12.5
1,8,1,40,1,16,20,1,12.5
1,1,8,200,1,4,16,1,12.5
1,16,4,5,5,8,8,1,12.5
1,20,80,2,2,1,16,1,12.5
1,32,1,25,4,8,4,1,12.5
1,32,20,5,1,16,2,1,12.5
1,25,1,32,128,1,1,1,12.5
0,4,10,10,2,128,1,1,100.0
1,25,4,4,16,16,1,1,12.5
1,2,5,20,256,2,1,1,12.5
1,5,16,2,1,10,64,1,12.5
1,25,4,16,16,4,1,1,12.5
1,1,200,1,256,2,1,1,12.5
1,2,16,50,4,4,4,1,12.5
1,20,2,4,20,16,2,1,12.5
1,64,1,5,8,4,10,1,12.5
1,2,2,200,4,32,1,1,12.5
1,8,5,40,16,4,1,1,12.5
1,8,4,100,2,16,1,1,12.5
1,5,10,16,2,2,32,1,12.5
1,16,25,1,16,8,2,1,12.5
1,32,10,1,1,40,8,1,12.5
0,2,32,10,32,5,1,1,100.0
1,2,2,32,50,4,4,1,12.5
1,80,2,1,160,1,4,1,12.5
1,8,1,16,8,10,10,1,12.5
1,10,1,32,2,40,4,1,12.5
1,4,32,1,32,25,1,1,12.5
1,4,80,1,40,8,1,1,12.5
1,2,80,20,4,2,4,1,12.5
1,16,4,2,10,5,16,1,12.5
1,2,25,8,2,32,4,1,12.5
1,2,2,200,32,2,2,1,12.5
1,20,2,40,32,2,1,1,12.5
1,4,16,2,5,20,8,1,12.5
1,16,4,50,4,2,4,1,12.5
1,64,5,2,20,4,2,1,12.5
1,5,4,8,2,64,5,1,12.5
1,1,40,8,4,20,4,1,12.5
1,80,2,2,1,10,32,1,12.5
1,1,2,64,10,16,5,1,12.5
1,32,1,4,2,8,50,1,12.5
1,2,8,8,16,2,25,1,12.5
1,10,1,20,2,8,32,1,12.5
0,1,20,16,20,16,1,1,100.0
0,16,1,20,8,40,1,1,100.0
1,10,32,5,1,16,4,1,12.5
1,100,32,1,1,16,2,1,6.65
1,40,16,5,8,4,1,1,12.5
1,8,2,50,2,32,2,1,12.5
1,4,4,50,8,4,4,1,12.5
1,10,5,2,128,8,1,1,12.5
1,10,8,5,1,128,2,1,12.5
1,5,4,5,16,32,2,1,12.5
1,2,1,320,20,2,4,1,12.5
1,1,8,16,20,4,10,1,12.5
1,200,4,2,8,4,2,1,12.5
1,16,5,2,4,20,8,1,12.5
0,8,4,10,16,1,20,1,100.0
1,25,8,2,4,32,2,1,12.5
1,2,16,10,16,10,2,1,12.5
1,8,1,20,5,16,8,1,12.5
1,8,50,4,8,8,1,1,12.5
0,100,2,2,2,64,2,1,100.0
0,40,2,4,4,80,1,1,100.0
1,5,1,64,5,32,2,1,12.5
1,64,5,1,8,2,20,1,12.5
0,16,1,100,2,4,8,1,100.0
1,8,1,50,1,128,2,1,12.5
1,1,20,8,1,80,8,1,12.5
1,2,8,20,20,2,8,1,12.5
1,25,16,4,4,2,8,1,12.5
1,50,4,2,1,32,8,1,12.5
0,4,160,5,4,4,2,1,100.0
0,2,1,50,8,8,16,1,100.0
1,2,16,10,8,2,20,1,12.5
1,40,4,2,5,4,16,1,12.5
1,10,10,1,32,1,32,1,12.5
1,100,1,1,256,4,1,1,12.5
1,2,5,64,2,40,2,1,12.5
1,5,16,4,20,8,2,1,12.5
1,20,1,8,80,4,2,1,12.5
1,2,16,50,1,16,4,1,12.5
1,4,16,25,2,32,1,1,12.5
1,1,50,16,4,32,1,1,12.5
1,80,4,1,1,10,32,1,6.83
1,20,4,4,8,40,1,1,12.5
1,2,320,5,1,16,2,1,12.5
1,50,8,4,16,2,2,1,12.5
1,16,100,1,1,8,8,1,7.47
1,20,8,2,1,320,1,1,12.5
1,32,1,100,16,1,2,1,12.5
1,8,8,25,32,2,1,1,12.5
1,20,4,2,2,5,64,1,12.5
1,20,10,2,8,1,32,1,12.5
1,40,16,5,4,4,2,1,12.5
1,5,8,8,1,10,32,1,12.5
1,32,4,1,16,2,25,1,12.5
1,50,2,2,8,64,1,1,12.5
1,1,20,5,32,8,4,1,12.5
1,32,1,20,4,40,1,1,12.5
1,160,4,1,8,5,4,1,12.5
0,2,16,10,1,20,16,1,100.0
1,8,5,5,16,1,32,1,12.5
1,16,25,2,2,8,8,1,12.5
1,1,5,64,16,20,1,1,12.5
1,2,64,25,1,32,1,1,12.5
1,64,1,5,8,10,4,1,12.5
1,5,80,4,4,1,16,1,12.5
1,2,160,2,1,4,40,1,12.5
1,2,64,1,25,8,4,1,12.5
0,4,20,10,32,1,4,1,100.0
1,10,10,1,1024,1,1,1,12.5
0,8,20,2,32,1,10,1,100.0
1,4,1,80,40,4,2,1,12.5
0,4,40,10,4,8,2,1,100.0
1,8,20,20,1,16,2,1,12.5
0,40,2,2,160,2,2,1,100.0
1,1,8,100,1,32,4,1,12.5
1,1,10,16,2,32,10,1,12.5
1,1,160,4,4,2,20,1,12.5
1,8,100,1,8,4,4,1,12.5
1,4,50,1,128,2,2,1,12.5
1,8,16,5,1,16,10,1,12.5
1,128,5,1,1,4,40,1,6.04
1,10,2,80,2,2,16,1,12.5
1,8,50,2,16,4,2,1,12.5
1,40,4,2,20,2,8,1,12.5
1,4,50,4,1,32,4,1,12.5
1,2,4,50,4,32,2,1,12.5
1,1,160,10,16,4,1,1,12.5
1,32,5,1,10,16,4,1,12.5
1,16,4,2,32,25,1,1,12.5
1,5,40,1,128,2,2,1,12.5
1,10,8,4,4,5,16,1,12.5
1,32,2,10,2,80,1,1,12.5
1,16,8,1,10,40,2,1,12.5
1,40,4,2,2,10,16,1,12.5
1,40,16,1,2,80,1,1,12.5
0,4,40,1,8,16,5,1,100.0
1,16,2,100,1,16,2,1,12.5
1,1,16,25,1,256,1,1,12.5
1,1,400,8,1,32,1,1,12.5
1,2,20,5,16,1,32,1,12.5
1,2,20,5,1,8,64,1,12.5
1,5,1,80,1,32,8,1,12.5
1,10,32,1,64,1,5,1,12.5
1,8,25,2,1,8,32,1,12.5
1,25,4,1,256,1,4,1,12.5
0,32,5,1,4,10,16,1,100.0
1,1,640,5,8,4,1,1,12.5
1,32,10,1,5,64,1,1,12.5
1,5,1,64,5,4,16,1,12.5
1,64,2,5,8,10,2,1,12.5
1,20,4,4,8,4,10,1,12.5
1,160,2,5,4,8,2,1,12.5
