gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,128,32,1,1,0,13.07 
1,2,64,32,1,1,0,13.48 
1,4,32,32,1,1,0,12.81 
1,8,16,32,1,1,0,13.48 
1,16,8,32,1,1,0,13.52 
1,32,4,32,1,1,0,13.71 
1,64,2,32,1,1,0,13.56 
1,128,1,32,1,1,0,13.49 
2,1,64,32,1,1,0,13.46 
2,2,32,32,1,1,0,13.14 
2,4,16,32,1,1,0,13.19 
2,8,8,32,1,1,0,13.25 
2,16,4,32,1,1,0,13.07 
2,32,2,32,1,1,0,13.2 
2,64,1,32,1,1,0,13.17 
4,1,32,32,1,1,0,13.48 
4,2,16,32,1,1,0,13.22 
4,4,8,32,1,1,0,13.2 
4,8,4,32,1,1,0,13.16 
4,16,2,32,1,1,0,13.16 
4,32,1,32,1,1,0,13.16 
8,1,16,32,1,1,0,13.46 
8,2,8,32,1,1,0,13.23 
8,4,4,32,1,1,0,13.22 
8,8,2,32,1,1,0,13.19 
8,16,1,32,1,1,0,13.13 
16,1,8,32,1,1,0,13.48 
16,2,4,32,1,1,0,13.21 
16,4,2,32,1,1,0,13.61 
16,8,1,32,1,1,0,13.16 
32,1,4,32,1,1,0,13.46 
32,2,2,32,1,1,0,13.24 
32,4,1,32,1,1,0,13.49 
64,1,2,32,1,1,0,12.83 
64,2,1,32,1,1,0,12.98 
128,1,1,32,1,1,0,12.99 
1,1,64,64,1,1,0,10.5 
1,2,32,64,1,1,0,9.39 
1,4,16,64,1,1,0,9.37 
1,8,8,64,1,1,0,9.38 
1,16,4,64,1,1,0,9.37 
1,32,2,64,1,1,0,9.39 
1,64,1,64,1,1,0,9.44 
2,1,32,64,1,1,0,9.33 
2,2,16,64,1,1,0,9.17 
2,4,8,64,1,1,0,9.11 
2,8,4,64,1,1,0,9.11 
2,16,2,64,1,1,0,9.13 
2,32,1,64,1,1,0,9.07 
4,1,16,64,1,1,0,9.3 
4,2,8,64,1,1,0,9.09 
4,4,4,64,1,1,0,9.24 
4,8,2,64,1,1,0,9.14 
4,16,1,64,1,1,0,9.17 
8,1,8,64,1,1,0,9.32 
8,2,4,64,1,1,0,9.15 
8,4,2,64,1,1,0,9.53 
8,8,1,64,1,1,0,9.01 
16,1,4,64,1,1,0,9.61 
16,2,2,64,1,1,0,8.99 
16,4,1,64,1,1,0,9.35 
32,1,2,64,1,1,0,9.52 
32,2,1,64,1,1,0,9.23 
64,1,1,64,1,1,0,8.93 
1,1,32,128,1,1,0,9.5 
1,2,16,128,1,1,0,9.57 
1,4,8,128,1,1,0,9.61 
1,8,4,128,1,1,0,9.6 
1,16,2,128,1,1,0,9.51 
1,32,1,128,1,1,0,9.45 
2,1,16,128,1,1,0,9.26 
2,2,8,128,1,1,0,9.69 
2,4,4,128,1,1,0,9.29 
2,8,2,128,1,1,0,9.31 
2,16,1,128,1,1,0,9.25 
4,1,8,128,1,1,0,10.13 
4,2,4,128,1,1,0,9.38 
4,4,2,128,1,1,0,9.28 
4,8,1,128,1,1,0,9.88 
8,1,4,128,1,1,0,9.56 
8,2,2,128,1,1,0,9.8 
8,4,1,128,1,1,0,9.06 
16,1,2,128,1,1,0,9.51 
16,2,1,128,1,1,0,9.29 
32,1,1,128,1,1,0,9.22 
1,1,16,256,1,1,0,6.74 
1,2,8,256,1,1,0,6.78 
1,4,4,256,1,1,0,6.49 
1,8,2,256,1,1,0,6.77 
1,16,1,256,1,1,0,6.83 
2,1,8,256,1,1,0,6.78 
2,2,4,256,1,1,0,6.92 
2,4,2,256,1,1,0,6.69 
2,8,1,256,1,1,0,6.53 
4,1,4,256,1,1,0,6.83 
4,2,2,256,1,1,0,6.67 
4,4,1,256,1,1,0,6.46 
8,1,2,256,1,1,0,6.77 
8,2,1,256,1,1,0,6.61 
16,1,1,256,1,1,0,6.45 
1,1,8,512,1,1,0,4.72 
1,2,4,512,1,1,0,4.78 
1,4,2,512,1,1,0,4.9 
1,8,1,512,1,1,0,4.88 
2,1,4,512,1,1,0,5.04 
2,2,2,512,1,1,0,4.85 
2,4,1,512,1,1,0,4.81 
4,1,2,512,1,1,0,4.87 
4,2,1,512,1,1,0,4.84 
8,1,1,512,1,1,0,4.81 
1,1,4,1024,1,1,0,3.16 
1,2,2,1024,1,1,0,3.94 
1,4,1,1024,1,1,0,3.92 
2,1,2,1024,1,1,0,3.91 
2,2,1,1024,1,1,0,3.83 
4,1,1,1024,1,1,0,3.8 
1,1,128,16,2,1,0,12.71 
1,2,64,16,2,1,0,12.89 
1,4,32,16,2,1,0,12.85 
1,8,16,16,2,1,0,12.87 
1,16,8,16,2,1,0,13.08 
1,32,4,16,2,1,0,13.27 
1,64,2,16,2,1,0,12.93 
1,128,1,16,2,1,0,12.85 
2,1,64,16,2,1,0,13.18 
2,2,32,16,2,1,0,13.02 
2,4,16,16,2,1,0,13.01 
2,8,8,16,2,1,0,13.0 
2,16,4,16,2,1,0,13.24 
2,32,2,16,2,1,0,12.98 
2,64,1,16,2,1,0,13.17 
4,1,32,16,2,1,0,12.91 
4,2,16,16,2,1,0,13.52 
4,4,8,16,2,1,0,13.26 
4,8,4,16,2,1,0,13.42 
4,16,2,16,2,1,0,13.47 
4,32,1,16,2,1,0,13.46 
8,1,16,16,2,1,0,13.36 
8,2,8,16,2,1,0,12.99 
8,4,4,16,2,1,0,13.07 
8,8,2,16,2,1,0,13.18 
8,16,1,16,2,1,0,13.39 
16,1,8,16,2,1,0,13.58 
16,2,4,16,2,1,0,13.52 
16,4,2,16,2,1,0,13.54 
16,8,1,16,2,1,0,13.09 
32,1,4,16,2,1,0,13.38 
32,2,2,16,2,1,0,13.29 
32,4,1,16,2,1,0,13.58 
64,1,2,16,2,1,0,13.5 
64,2,1,16,2,1,0,13.53 
128,1,1,16,2,1,0,13.38 
1,1,64,32,2,1,0,9.58 
1,2,32,32,2,1,0,9.64 
1,4,16,32,2,1,0,9.17 
1,8,8,32,2,1,0,11.1 
1,16,4,32,2,1,0,9.6 
1,32,2,32,2,1,0,9.48 
1,64,1,32,2,1,0,9.55 
2,1,32,32,2,1,0,9.57 
2,2,16,32,2,1,0,9.43 
2,4,8,32,2,1,0,9.8 
2,8,4,32,2,1,0,9.75 
2,16,2,32,2,1,0,9.77 
2,32,1,32,2,1,0,9.6 
4,1,16,32,2,1,0,9.25 
4,2,8,32,2,1,0,9.71 
4,4,4,32,2,1,0,9.61 
4,8,2,32,2,1,0,9.71 
4,16,1,32,2,1,0,9.55 
8,1,8,32,2,1,0,9.43 
8,2,4,32,2,1,0,9.73 
8,4,2,32,2,1,0,9.71 
8,8,1,32,2,1,0,9.56 
16,1,4,32,2,1,0,9.51 
16,2,2,32,2,1,0,9.7 
16,4,1,32,2,1,0,9.59 
32,1,2,32,2,1,0,9.49 
32,2,1,32,2,1,0,9.47 
64,1,1,32,2,1,0,9.44 
1,1,32,64,2,1,0,10.88 
1,2,16,64,2,1,0,10.57 
1,4,8,64,2,1,0,9.43 
1,8,4,64,2,1,0,9.69 
1,16,2,64,2,1,0,9.39 
1,32,1,64,2,1,0,9.15 
2,1,16,64,2,1,0,9.5 
2,2,8,64,2,1,0,9.71 
2,4,4,64,2,1,0,9.7 
2,8,2,64,2,1,0,9.87 
2,16,1,64,2,1,0,10.22 
4,1,8,64,2,1,0,9.57 
4,2,4,64,2,1,0,9.8 
4,4,2,64,2,1,0,9.82 
4,8,1,64,2,1,0,9.36 
8,1,4,64,2,1,0,9.52 
8,2,2,64,2,1,0,9.76 
8,4,1,64,2,1,0,9.82 
16,1,2,64,2,1,0,9.48 
16,2,1,64,2,1,0,9.57 
32,1,1,64,2,1,0,9.44 
1,1,16,128,2,1,0,6.8 
1,2,8,128,2,1,0,6.58 
1,4,4,128,2,1,0,6.75 
1,8,2,128,2,1,0,6.75 
1,16,1,128,2,1,0,6.74 
2,1,8,128,2,1,0,6.74 
2,2,4,128,2,1,0,6.88 
2,4,2,128,2,1,0,6.66 
2,8,1,128,2,1,0,6.8 
4,1,4,128,2,1,0,6.76 
4,2,2,128,2,1,0,7.26 
4,4,1,128,2,1,0,6.8 
8,1,2,128,2,1,0,6.77 
8,2,1,128,2,1,0,6.77 
16,1,1,128,2,1,0,6.74 
1,1,8,256,2,1,0,4.74 
1,2,4,256,2,1,0,4.79 
1,4,2,256,2,1,0,4.94 
1,8,1,256,2,1,0,4.88 
2,1,4,256,2,1,0,4.89 
2,2,2,256,2,1,0,4.9 
2,4,1,256,2,1,0,4.91 
4,1,2,256,2,1,0,4.9 
4,2,1,256,2,1,0,4.91 
8,1,1,256,2,1,0,4.86 
1,1,4,512,2,1,0,3.94 
1,2,2,512,2,1,0,3.9 
1,4,1,512,2,1,0,3.93 
2,1,2,512,2,1,0,3.93 
2,2,1,512,2,1,0,3.94 
4,1,1,512,2,1,0,3.89 
1,1,128,8,4,1,0,13.14 
1,2,64,8,4,1,0,13.37 
1,4,32,8,4,1,0,13.43 
1,8,16,8,4,1,0,13.4 
1,16,8,8,4,1,0,13.5 
1,32,4,8,4,1,0,13.49 
1,64,2,8,4,1,0,13.44 
1,128,1,8,4,1,0,13.35 
2,1,64,8,4,1,0,13.43 
2,2,32,8,4,1,0,13.64 
2,4,16,8,4,1,0,13.71 
2,8,8,8,4,1,0,13.63 
2,16,4,8,4,1,0,13.99 
2,32,2,8,4,1,0,13.69 
2,64,1,8,4,1,0,13.54 
4,1,32,8,4,1,0,13.48 
4,2,16,8,4,1,0,14.15 
4,4,8,8,4,1,0,13.75 
4,8,4,8,4,1,0,13.65 
4,16,2,8,4,1,0,13.66 
4,32,1,8,4,1,0,13.54 
8,1,16,8,4,1,0,13.47 
8,2,8,8,4,1,0,13.7 
8,4,4,8,4,1,0,13.61 
8,8,2,8,4,1,0,13.66 
8,16,1,8,4,1,0,13.55 
16,1,8,8,4,1,0,13.46 
16,2,4,8,4,1,0,13.67 
16,4,2,8,4,1,0,13.67 
16,8,1,8,4,1,0,13.56 
32,1,4,8,4,1,0,13.49 
32,2,2,8,4,1,0,13.71 
32,4,1,8,4,1,0,13.59 
64,1,2,8,4,1,0,13.5 
64,2,1,8,4,1,0,13.5 
128,1,1,8,4,1,0,13.78 
1,1,64,16,4,1,0,10.3 
1,2,32,16,4,1,0,9.5 
1,4,16,16,4,1,0,9.49 
1,8,8,16,4,1,0,9.48 
1,16,4,16,4,1,0,9.43 
1,32,2,16,4,1,0,9.43 
1,64,1,16,4,1,0,9.46 
2,1,32,16,4,1,0,9.6 
2,2,16,16,4,1,0,9.72 
2,4,8,16,4,1,0,9.7 
2,8,4,16,4,1,0,9.7 
2,16,2,16,4,1,0,9.65 
2,32,1,16,4,1,0,9.56 
4,1,16,16,4,1,0,9.44 
4,2,8,16,4,1,0,9.7 
4,4,4,16,4,1,0,9.68 
4,8,2,16,4,1,0,9.71 
4,16,1,16,4,1,0,9.6 
8,1,8,16,4,1,0,9.5 
8,2,4,16,4,1,0,9.67 
8,4,2,16,4,1,0,9.66 
8,8,1,16,4,1,0,9.59 
16,1,4,16,4,1,0,9.5 
16,2,2,16,4,1,0,9.72 
16,4,1,16,4,1,0,10.44 
32,1,2,16,4,1,0,9.93 
32,2,1,16,4,1,0,9.57 
64,1,1,16,4,1,0,9.46 
1,1,32,32,4,1,0,9.53 
1,2,16,32,4,1,0,9.54 
1,4,8,32,4,1,0,9.43 
1,8,4,32,4,1,0,9.46 
1,16,2,32,4,1,0,9.49 
1,32,1,32,4,1,0,9.42 
2,1,16,32,4,1,0,9.48 
2,2,8,32,4,1,0,9.72 
2,4,4,32,4,1,0,9.71 
2,8,2,32,4,1,0,10.07 
2,16,1,32,4,1,0,9.56 
4,1,8,32,4,1,0,9.56 
4,2,4,32,4,1,0,9.7 
4,4,2,32,4,1,0,9.72 
4,8,1,32,4,1,0,9.54 
8,1,4,32,4,1,0,9.49 
8,2,2,32,4,1,0,9.67 
8,4,1,32,4,1,0,9.6 
16,1,2,32,4,1,0,9.5 
16,2,1,32,4,1,0,9.56 
32,1,1,32,4,1,0,9.4 
1,1,16,64,4,1,0,6.8 
1,2,8,64,4,1,0,6.73 
1,4,4,64,4,1,0,6.73 
1,8,2,64,4,1,0,6.71 
1,16,1,64,4,1,0,6.76 
2,1,8,64,4,1,0,6.76 
2,2,4,64,4,1,0,6.83 
2,4,2,64,4,1,0,6.86 
2,8,1,64,4,1,0,6.81 
4,1,4,64,4,1,0,6.77 
4,2,2,64,4,1,0,6.83 
4,4,1,64,4,1,0,6.81 
8,1,2,64,4,1,0,6.77 
8,2,1,64,4,1,0,6.75 
16,1,1,64,4,1,0,6.75 
1,1,8,128,4,1,0,4.9 
1,2,4,128,4,1,0,4.86 
1,4,2,128,4,1,0,4.86 
1,8,1,128,4,1,0,4.88 
2,1,4,128,4,1,0,5.0 
2,2,2,128,4,1,0,4.93 
2,4,1,128,4,1,0,4.88 
4,1,2,128,4,1,0,4.89 
4,2,1,128,4,1,0,4.91 
8,1,1,128,4,1,0,4.85 
1,1,4,256,4,1,0,3.92 
1,2,2,256,4,1,0,3.9 
1,4,1,256,4,1,0,3.92 
2,1,2,256,4,1,0,3.93 
2,2,1,256,4,1,0,3.94 
4,1,1,256,4,1,0,3.89 
1,1,128,4,8,1,0,13.54 
1,2,64,4,8,1,0,13.44 
1,4,32,4,8,1,0,13.43 
1,8,16,4,8,1,0,13.47 
1,16,8,4,8,1,0,13.56 
1,32,4,4,8,1,0,13.46 
1,64,2,4,8,1,0,13.45 
1,128,1,4,8,1,0,13.42 
2,1,64,4,8,1,0,13.92 
2,2,32,4,8,1,0,13.7 
2,4,16,4,8,1,0,13.66 
2,8,8,4,8,1,0,13.7 
2,16,4,4,8,1,0,13.56 
2,32,2,4,8,1,0,13.66 
2,64,1,4,8,1,0,13.49 
4,1,32,4,8,1,0,13.48 
4,2,16,4,8,1,0,13.5 
4,4,8,4,8,1,0,13.23 
4,8,4,4,8,1,0,13.21 
4,16,2,4,8,1,0,13.19 
4,32,1,4,8,1,0,13.11 
8,1,16,4,8,1,0,13.48 
8,2,8,4,8,1,0,13.48 
8,4,4,4,8,1,0,13.68 
8,8,2,4,8,1,0,13.55 
8,16,1,4,8,1,0,13.46 
16,1,8,4,8,1,0,13.52 
16,2,4,4,8,1,0,13.7 
16,4,2,4,8,1,0,13.72 
16,8,1,4,8,1,0,13.49 
32,1,4,4,8,1,0,13.5 
32,2,2,4,8,1,0,13.65 
32,4,1,4,8,1,0,13.15 
64,1,2,4,8,1,0,13.01 
64,2,1,4,8,1,0,13.54 
128,1,1,4,8,1,0,13.36 
1,1,64,8,8,1,0,9.64 
1,2,32,8,8,1,0,9.32 
1,4,16,8,8,1,0,9.43 
1,8,8,8,8,1,0,9.41 
1,16,4,8,8,1,0,9.43 
1,32,2,8,8,1,0,9.43 
1,64,1,8,8,1,0,9.38 
2,1,32,8,8,1,0,9.52 
2,2,16,8,8,1,0,9.7 
2,4,8,8,8,1,0,9.65 
2,8,4,8,8,1,0,9.69 
2,16,2,8,8,1,0,9.71 
2,32,1,8,8,1,0,9.58 
4,1,16,8,8,1,0,9.5 
4,2,8,8,8,1,0,9.41 
4,4,4,8,8,1,0,9.5 
4,8,2,8,8,1,0,9.44 
4,16,1,8,8,1,0,9.44 
8,1,8,8,8,1,0,10.19 
8,2,4,8,8,1,0,9.49 
8,4,2,8,8,1,0,9.52 
8,8,1,8,8,1,0,10.33 
16,1,4,8,8,1,0,9.26 
16,2,2,8,8,1,0,9.72 
16,4,1,8,8,1,0,9.38 
32,1,2,8,8,1,0,9.57 
32,2,1,8,8,1,0,9.57 
64,1,1,8,8,1,0,9.41 
1,1,32,16,8,1,0,11.25 
1,2,16,16,8,1,0,9.47 
1,4,8,16,8,1,0,10.16 
1,8,4,16,8,1,0,10.26 
1,16,2,16,8,1,0,9.23 
1,32,1,16,8,1,0,9.48 
2,1,16,16,8,1,0,9.29 
2,2,8,16,8,1,0,9.35 
2,4,4,16,8,1,0,9.68 
2,8,2,16,8,1,0,9.97 
2,16,1,16,8,1,0,9.77 
4,1,8,16,8,1,0,9.51 
4,2,4,16,8,1,0,10.48 
4,4,2,16,8,1,0,9.71 
4,8,1,16,8,1,0,9.26 
8,1,4,16,8,1,0,9.53 
8,2,2,16,8,1,0,9.36 
8,4,1,16,8,1,0,9.51 
16,1,2,16,8,1,0,9.52 
16,2,1,16,8,1,0,9.54 
32,1,1,16,8,1,0,9.47 
1,1,16,32,8,1,0,7.27 
1,2,8,32,8,1,0,6.56 
1,4,4,32,8,1,0,6.73 
1,8,2,32,8,1,0,7.37 
1,16,1,32,8,1,0,7.4 
2,1,8,32,8,1,0,6.78 
2,2,4,32,8,1,0,7.24 
2,4,2,32,8,1,0,6.68 
2,8,1,32,8,1,0,7.3 
4,1,4,32,8,1,0,6.78 
4,2,2,32,8,1,0,6.86 
4,4,1,32,8,1,0,6.81 
8,1,2,32,8,1,0,7.14 
8,2,1,32,8,1,0,6.81 
16,1,1,32,8,1,0,6.74 
1,1,8,64,8,1,0,4.89 
1,2,4,64,8,1,0,4.86 
1,4,2,64,8,1,0,4.86 
1,8,1,64,8,1,0,4.88 
2,1,4,64,8,1,0,4.88 
2,2,2,64,8,1,0,5.09 
2,4,1,64,8,1,0,4.79 
4,1,2,64,8,1,0,4.78 
4,2,1,64,8,1,0,4.79 
8,1,1,64,8,1,0,4.74 
1,1,4,128,8,1,0,3.81 
1,2,2,128,8,1,0,3.9 
1,4,1,128,8,1,0,3.92 
2,1,2,128,8,1,0,3.93 
2,2,1,128,8,1,0,3.95 
4,1,1,128,8,1,0,3.89 
1,1,128,2,16,1,0,13.07 
1,2,64,2,16,1,0,13.46 
1,4,32,2,16,1,0,13.03 
1,8,16,2,16,1,0,13.01 
1,16,8,2,16,1,0,13.45 
1,32,4,2,16,1,0,13.41 
1,64,2,2,16,1,0,13.46 
1,128,1,2,16,1,0,13.36 
2,1,64,2,16,1,0,13.11 
2,2,32,2,16,1,0,13.24 
2,4,16,2,16,1,0,13.67 
2,8,8,2,16,1,0,13.75 
2,16,4,2,16,1,0,13.69 
2,32,2,2,16,1,0,13.69 
2,64,1,2,16,1,0,13.62 
4,1,32,2,16,1,0,13.48 
4,2,16,2,16,1,0,13.73 
4,4,8,2,16,1,0,13.68 
4,8,4,2,16,1,0,13.64 
4,16,2,2,16,1,0,13.6 
4,32,1,2,16,1,0,13.55 
8,1,16,2,16,1,0,13.48 
8,2,8,2,16,1,0,13.7 
8,4,4,2,16,1,0,14.13 
8,8,2,2,16,1,0,13.72 
8,16,1,2,16,1,0,13.55 
16,1,8,2,16,1,0,13.48 
16,2,4,2,16,1,0,13.7 
16,4,2,2,16,1,0,13.69 
16,8,1,2,16,1,0,13.08 
32,1,4,2,16,1,0,13.03 
32,2,2,2,16,1,0,14.93 
32,4,1,2,16,1,0,13.54 
64,1,2,2,16,1,0,13.42 
64,2,1,2,16,1,0,13.57 
128,1,1,2,16,1,0,13.44 
1,1,64,4,16,1,0,9.5 
1,2,32,4,16,1,0,9.19 
1,4,16,4,16,1,0,10.01 
1,8,8,4,16,1,0,10.36 
1,16,4,4,16,1,0,9.33 
1,32,2,4,16,1,0,9.65 
1,64,1,4,16,1,0,9.57 
2,1,32,4,16,1,0,9.72 
2,2,16,4,16,1,0,9.79 
2,4,8,4,16,1,0,9.69 
2,8,4,4,16,1,0,9.77 
2,16,2,4,16,1,0,9.72 
2,32,1,4,16,1,0,9.72 
4,1,16,4,16,1,0,9.67 
4,2,8,4,16,1,0,9.72 
4,4,4,4,16,1,0,9.76 
4,8,2,4,16,1,0,9.73 
4,16,1,4,16,1,0,10.93 
8,1,8,4,16,1,0,9.67 
8,2,4,4,16,1,0,9.75 
8,4,2,4,16,1,0,9.8 
8,8,1,4,16,1,0,9.68 
16,1,4,4,16,1,0,9.69 
16,2,2,4,16,1,0,9.78 
16,4,1,4,16,1,0,9.7 
32,1,2,4,16,1,0,9.69 
32,2,1,4,16,1,0,9.74 
64,1,1,4,16,1,0,9.56 
1,1,32,8,16,1,0,9.69 
1,2,16,8,16,1,0,9.62 
1,4,8,8,16,1,0,9.66 
1,8,4,8,16,1,0,9.63 
1,16,2,8,16,1,0,10.44 
1,32,1,8,16,1,0,9.61 
2,1,16,8,16,1,0,9.66 
2,2,8,8,16,1,0,9.75 
2,4,4,8,16,1,0,9.79 
2,8,2,8,16,1,0,9.8 
2,16,1,8,16,1,0,10.93 
4,1,8,8,16,1,0,9.69 
4,2,4,8,16,1,0,9.73 
4,4,2,8,16,1,0,10.9 
4,8,1,8,16,1,0,9.6 
8,1,4,8,16,1,0,9.67 
8,2,2,8,16,1,0,9.71 
8,4,1,8,16,1,0,9.66 
16,1,2,8,16,1,0,9.66 
16,2,1,8,16,1,0,9.69 
32,1,1,8,16,1,0,9.63 
1,1,16,16,16,1,0,6.81 
1,2,8,16,16,1,0,6.84 
1,4,4,16,16,1,0,6.85 
1,8,2,16,16,1,0,6.82 
1,16,1,16,16,1,0,6.89 
2,1,8,16,16,1,0,7.49 
2,2,4,16,16,1,0,6.89 
2,4,2,16,16,1,0,6.88 
2,8,1,16,16,1,0,6.86 
4,1,4,16,16,1,0,6.86 
4,2,2,16,16,1,0,6.91 
4,4,1,16,16,1,0,6.91 
8,1,2,16,16,1,0,6.86 
8,2,1,16,16,1,0,7.02 
16,1,1,16,16,1,0,6.92 
1,1,8,32,16,1,0,4.93 
1,2,4,32,16,1,0,4.96 
1,4,2,32,16,1,0,4.9 
1,8,1,32,16,1,0,4.91 
2,1,4,32,16,1,0,4.94 
2,2,2,32,16,1,0,4.95 
2,4,1,32,16,1,0,4.94 
4,1,2,32,16,1,0,5.16 
4,2,1,32,16,1,0,4.95 
8,1,1,32,16,1,0,4.88 
1,1,4,64,16,1,0,3.95 
1,2,2,64,16,1,0,3.93 
1,4,1,64,16,1,0,3.94 
2,1,2,64,16,1,0,3.95 
2,2,1,64,16,1,0,3.96 
4,1,1,64,16,1,0,3.91 
1,1,128,1,32,1,0,13.29 
1,2,64,1,32,1,0,13.01 
1,4,32,1,32,1,0,13.13 
1,8,16,1,32,1,0,13.07 
1,16,8,1,32,1,0,13.34 
1,32,4,1,32,1,0,13.09 
1,64,2,1,32,1,0,13.11 
1,128,1,1,32,1,0,13.03 
2,1,64,1,32,1,0,13.44 
2,2,32,1,32,1,0,13.43 
2,4,16,1,32,1,0,15.16 
2,8,8,1,32,1,0,13.3 
2,16,4,1,32,1,0,13.42 
2,32,2,1,32,1,0,13.53 
2,64,1,1,32,1,0,13.21 
4,1,32,1,32,1,0,13.48 
4,2,16,1,32,1,0,13.48 
4,4,8,1,32,1,0,13.43 
4,8,4,1,32,1,0,13.43 
4,16,2,1,32,1,0,13.45 
4,32,1,1,32,1,0,13.35 
8,1,16,1,32,1,0,13.49 
8,2,8,1,32,1,0,13.45 
8,4,4,1,32,1,0,13.87 
8,8,2,1,32,1,0,13.46 
8,16,1,1,32,1,0,13.77 
16,1,8,1,32,1,0,13.43 
16,2,4,1,32,1,0,13.45 
16,4,2,1,32,1,0,13.44 
16,8,1,1,32,1,0,13.36 
